name,size_bytes,currency,price,review_count,rating,content_rating,primary_genre,name-2,category,rating-2,review_count-2,size,install_count,type,price-2,content_rating-2,genres
PewDiePie's Tuber Simulator,266766336,USD,0,90851,5,9+,Games,PewDiePie's Tuber Simulator,FAMILY,4.8,1499466,96M,"10,000,000+",Free,0,Teen,Casual
The Guardian,92966912,USD,0,8176,5,12+,News,The Guardian,NEWS_AND_MAGAZINES,4.7,247992,22M,"5,000,000+",Free,0,Teen,News & Magazines
ASOS,141503488,USD,0,9725,5,4+,Shopping,ASOS,SHOPPING,4.7,181798,22M,"10,000,000+",Free,0,Everyone,Shopping
Domino's Pizza USA,105743360,USD,0,258624,5,4+,Food & Drink,Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,Varies with device,"10,000,000+",Free,0,Everyone,Food & Drink
ASOS,141503488,USD,0,9725,5,4+,Shopping,ASOS,SHOPPING,4.7,181823,22M,"10,000,000+",Free,0,Everyone,Shopping
Domino's Pizza USA,105743360,USD,0,258624,5,4+,Food & Drink,Domino's Pizza USA,FOOD_AND_DRINK,4.7,1032935,Varies with device,"10,000,000+",Free,0,Everyone,Food & Drink
"Egg, Inc.",53579776,USD,0,79074,5,4+,Games,"Egg, Inc.",FAMILY,4.7,580160,29M,"5,000,000+",Free,0,Everyone,Simulation
Geometry Dash Lite,69076992,USD,0,370370,5,4+,Games,Geometry Dash Lite,GAME,4.5,6181640,58M,"100,000,000+",Free,0,Everyone,Arcade
Fernanfloo,63286272,USD,0,2886,4.5,9+,Games,Fernanfloo,GAME,4.8,526595,49M,"10,000,000+",Free,0,Everyone 10+,Arcade
Zombie Catchers,103388160,USD,0,16805,4.5,12+,Games,Zombie Catchers,GAME,4.7,989158,75M,"10,000,000+",Free,0,Everyone,Action
Zombie Catchers,103388160,USD,0,16805,4.5,12+,Games,Zombie Catchers,GAME,4.7,990586,75M,"10,000,000+",Free,0,Everyone,Action
Zombie Catchers,103388160,USD,0,16805,4.5,12+,Games,Zombie Catchers,GAME,4.7,990491,75M,"10,000,000+",Free,0,Everyone,Action
Toy Blast,268521472,USD,0,75822,4.5,4+,Games,Toy Blast,GAME,4.7,1889250,Varies with device,"50,000,000+",Free,0,Everyone,Puzzle
Zombie Catchers,103388160,USD,0,16805,4.5,12+,Games,Zombie Catchers,GAME,4.7,990796,75M,"10,000,000+",Free,0,Everyone,Action
Toy Blast,268521472,USD,0,75822,4.5,4+,Games,Toy Blast,GAME,4.7,1889582,Varies with device,"50,000,000+",Free,0,Everyone,Puzzle
Solitaire,101943296,USD,0,679055,4.5,4+,Games,Solitaire,GAME,4.7,254258,23M,"10,000,000+",Free,0,Everyone,Card
Zombie Catchers,103388160,USD,0,16805,4.5,12+,Games,Zombie Catchers,GAME,4.7,990663,75M,"10,000,000+",Free,0,Everyone,Action
Solitaire,101943296,USD,0,679055,4.5,4+,Games,Solitaire,GAME,4.7,154264,12M,"10,000,000+",Free,0,Everyone,Card
Zombie Catchers,103388160,USD,0,16805,4.5,12+,Games,Zombie Catchers,GAME,4.7,990723,75M,"10,000,000+",Free,0,Everyone,Action
Bible,92774400,USD,0,985920,4.5,4+,Reference,Bible,BOOKS_AND_REFERENCE,4.7,2440695,Varies with device,"100,000,000+",Free,0,Teen,Books & Reference
