 price ,sum,,,,, Both ,
 $-   ,80105208,, $-   ,4805278743,, Free Apps ,"4,885,383,951"
,,,,,, Apps Priced .99 to $400 ,"22,023,695"
$0.99 ,5202037,,$0.99 ,996900,, .99-1.99 ,"9,082,848"
$1.99 ,2367166,,$1.00 ,697,, 2.00-2.99 ,"1,916,202"
$2.99 ,1916178,,$1.20 ,1405,, 3.00-3.99 ,"715,391"
$3.99 ,459973,,$1.26 ,3,, 4.00-4.99 ,"1,859,630"
$4.99 ,1277428,,$1.29 ,66,, 5.00-5.99 ,"342,581"
$5.99 ,48160,,$1.49 ,30962,, 6.00-6.99 ,"6,021,905"
$6.99 ,906091,,$1.50 ,74,, 7.00-7.99 ,"165,532"
$7.99 ,140807,,$1.59 ,630,, 8.00-8.99 ,"40,784"
$8.99 ,13921,,$1.61 ,131,, 9.00-9.99 ,"377,895"
$9.99 ,283207,,$1.70 ,142,, 10-10.99 ,697
$11.99 ,1073,,$1.75 ,5,, 11.00 to 400 ,"136,855"
$12.99 ,1390,,$1.76 ,2,, 12.00-12.99 ,
$13.99 ,7255,,$1.97 ,313,, 13.00-13.99 ,
$14.99 ,26563,,$1.99 ,482315,, 14-14.99 ,
$15.99 ,3528,,$2.00 ,19,, 15-15.99 ,0.00
$16.99 ,982,,$2.49 ,250174,, 16-16.99 ,
$17.99 ,2837,,$2.50 ,1721,, 17-17.99 ,
$18.99 ,79,,$2.56 ,39,, 18-18.99 ,
$19.99 ,12610,,$2.59 ,1363,, 19-19.99 ,
$20.99 ,1502,,$2.60 ,3,, 20-20.99 ,
$21.99 ,64,,$2.90 ,5599,,,
$22.99 ,159,,$2.95 ,3356,,,
$23.99 ,5,,$2.99 ,1101125,,"$4,885,383,951.00 ",
$24.99 ,4215,,$3.02 ,6,,"$22,023,695.00 ",
$27.99 ,650,,$3.04 ,1,,,
$29.99 ,2879,,$3.08 ,47,,,
$34.99 ,49,,$3.28 ,1417,,,
$39.99 ,1498,,$3.49 ,31011,,,
$47.99 ,0,,$3.88 ,10,,,
$49.99 ,504,,$3.90 ,1947,,,
$59.99 ,423,,$3.95 ,32637,,,
$74.99 ,927,,$3.99 ,188342,,,
$99.99 ,71,,$4.29 ,84,,,
$249.99 ,773,,$4.49 ,122658,,,
$299.99 ,41,,$4.59 ,23,,,
,,,$4.60 ,116,,,
,,,$4.77 ,2925,,,
,,,$4.80 ,3,,,
,,,$4.84 ,135,,,
,,,$4.85 ,1,,,
,,,$4.99 ,456257,,,
,,,$5.00 ,5,,,
,,,$5.49 ,775,,,
,,,$5.99 ,293641,,,
,,,$6.49 ,19,,,
,,,$6.99 ,5115795,,,
,,,$7.49 ,39,,,
,,,$7.99 ,24686,,,
,,,$8.49 ,170,,,
,,,$8.99 ,26693,,,
,,,$9.00 ,2270,,,
,,,$9.99 ,92418,,,
,,,$10.00 ,513,,,
,,,$10.99 ,184,,,
,,,$11.99 ,9694,,,
,,,$12.99 ,6016,,,
,,,$13.99 ,8450,,,
,,,$14.00 ,17,,,
,,,$14.99 ,7168,,,
,,,$15.46 ,35,,,
,,,$15.99 ,11,,,
,,,$16.99 ,276,,,
,,,$17.99 ,4136,,,
,,,$18.99 ,459,,,
,,,$19.40 ,54,,,
,,,$19.90 ,3,,,
,,,$19.99 ,7914,,,
,,,$24.99 ,9107,,,
,,,$25.99 ,0,,,
,,,$28.99 ,0,,,
,,,$29.99 ,3619,,,
,,,$30.99 ,0,,,
,,,$33.99 ,428,,,
,,,$37.99 ,134,,,
,,,$39.99 ,6,,,
,,,$46.99 ,2,,,
,,,$74.99 ,10,,,
,,,$79.99 ,184,,,
,,,$89.99 ,6,,,
,,,$109.99 ,0,,,
,,,$154.99 ,0,,,
,,,$200.00 ,0,,,
,,,$299.99 ,411,,,
,,,$379.99 ,41,,,
,,,$389.99 ,217,,,
,,,$394.99 ,0,,,
,,,$399.99 ,8105,,,
,,,$400.00 ,275,,,
